(sam    male    (bob jane joe sally)  nil)
(doris  female  (bob jane joe sally)  nil)
(bob    male    (matt becky)          (sam doris))
(jane   female  nil                   (sam doris))
(joe    male    nil                   (sam doris))
(sally  female  (mike steve ellen)    (sam doris))
(linda  female  (matt becky)          nil)
(matt   male    nil                   (linda bob))
(becky  female  nil                   (linda bob))
(tom    male    (jack jill)           nil)
(helen  female  (jack jill)           nil)
(jack   male    (mike steve ellen)    (tom helen))
(jill   female  nil                   (tom helen))
(ellen  female  nil                   (jack sally))
(mike   male    nil                   (jack sally))
(steve  male    nil                   (jack sally))
